"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,
"Serbia","942","Debt to GDP Ratio","GGXWDG_GDP","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"224.75081140206","106.304837802523","76.1202803962724","71.7588706960413","62.1783689746641","54.1091821240493","40.2968156254514","33.4359893310059","32.3766916732219","35.9523499316299","43.6790010124846","46.6088137670207","58.3162685601528","61.41768354377","72.0071412912108","77.4316805206009",
"Seychelles","718","Debt to GDP Ratio","GGXWDG_GDP","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.19047686979186","6.23711518152055","7.23404400231636","4.48577696318015","4.94929039025858",,,"19.9953","23.7908","31.9577","42.6564","47.4895","68.1667","82.3621","90.6273","84.6246","79.8578","72.8627","81.2652","79.1992","82.0331","90.9288","98.5744","104.885","101.239","116.576","128.985","172.56104614309","201.269932523454","202.05171030371","175.715311372652","163.225828874269","144.064280078042","132.509258508308","130.748761259303","130.009426853477","121.292381693485","81.8939926970908","77.288691091552","82.5381637216768","68.7957733845992","68.6294735394814","68.9995686021411",
"Sierra Leone","724","Debt to GDP Ratio","GGXWDG_GDP","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21.0815","31.829","31.7791","37.4761","42.6052","42.8112","50.0057","55.7287","59.8542","57.2454","63.0025","72.9859","75.3305","80.0306","66.4948","88.2165","106.791","132.575","83.4057","88.8654","178.511","139.842","180.708","179.462","241.415","185.413","161.211","178.093","211.739","208.681","211.177","186.069","174.617","177.734","160.493","133.859","103.110381167864","42.1794788950384","42.3741875177525","48.0503822961776","46.8490968769788","44.7511259030871","36.7654907013143","30.5452500696728","34.9638601473681","43.7578907866818",
"Singapore","576","Debt to GDP Ratio","GGXWDG_GDP","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.6561593263545","18.7442029203249","17.6112511028738","20.7782651873546","26.611857417057","35.9440166184417","33.8964648414336","48.2479805075042","53.7253558808175","49.9532393805141","45.1039553872263","43.6411446385973","52.4534732394435","56.8324435609143","82.6328264015371","88.5695857298914","88.9692534469602","72.299806921365","59.6532044058308","63.8941097202028","69.0161992141837","73.1723780480455","82.6520539312345","84.6117070180815","88.9598329070082","80.0475924167414","77.4604885057471","72.9367030080573","75.1569240717898","79.1552302890206","71.2545731940667","66.8609490612149","69.4420161942215","69.7647232789398","68.8337081900305","80.3005152666301","86.0014947018767","81.3293006742014","93.1400145398536","95.2143565658486","100.198880682242","96.6822537648671","94.3093448513255","87.9079779419592","86.3017041855883","93.9276506689453","104.160610023655","99.6343231239749","102.267856477417","106.500410651546","103.900481968112","99.7633506822925","104.682278568765",
"Canada","156","Debt to GDP Ratio","GGXWDG_GDP","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.0120230005227","28.1075842015992","27.7218868768165","27.470274702747","29.4541709577755","33.8121546961326","39.3644771164335","37.9572118702554","41.015625","40.8896877106268","38.5892116182573","33.4095305081765","30.2148973986104","36.9582992641047","42.0369104579631","45.4463480613165","44.7654717317639","42.5462281132384","41.5675075360939","39.3412625800549","37.9340531076744","37.2423596304193","37.5553334285306","39.2731535756155","42.3702793982192","44.3637511840859","44.16354556804","40.0278940027894","37.561736417988","34.8668280871671","32.1798545294247","29.9788028666599","25.1875669882101","24.6986929214055","24.4650854204677","22.6955563716489","19.3983878366865","18.7478301122555","22.8564518079574","20.9976608823369","19.2307692307692","20.7325810496149","18.4450058141866","20.7429756741467","30.6297476108797","36.2270326564011","43.4822832824498","46.8699115709311","61.9030857679221","68.1870220268352","58.3888241221917","74.0831655947764","75.5568152294575","70.664939740522","72.464733977563","64.8557759673319","62.9032258064516","57.777378169394","53.1735537190083","53.2008470434924","60.7867132867133","79.6079266993394","102.307288935501","117.86941580756","108.289241622575","105.161590327831","98.4246870953819","87.9412325892005","90.8383915022762","90.9802526240882","91.0025323998212","91.5841584158416","93.7359961032635","113.598118157966","131.709993247806","155.466576751243","153.782078249895","131.611370889928","112.966664517377","103.309523809524","87.6485029687461","76.4324936797422","69.9733606871743","67.1148891434859","68.1984162853954","66.3793222844589","58.3372726439879","57.5657731183003","63.0234449028925","64.1012380088432","64.7995835139638","67.2825959987804","66.5641992156779","65.3024040148317","61.9533783215912","58.241575169023","57.0055188976016","56.9581065687995","56.2553023015699","54.362511194136","56.6790989148724","57.825283416899","56.6242190068648","52.2700568097789","49.4455448143523","49.8195823416309","42.7866375630198","44.2483489730298","47.0634690414456","45.0623960821138","45.409787539274","46.5576906285143","52.2600588924389","57.8368794258312","60.8662320973882","65.8819754267677","70.101448297959","70.5475656744229","70.5156673745702","71.7590534980233","74.5314724200136","81.5361659977234","89.1831202351095","95.0392689844858","97.7848201472565","100.403873226269","100.572680079765","95.5912255974652","93.6139635867043","89.2730990705417","80.705927175747","81.750452650361","79.8879652142331","76.1808824176307","72.1352816828403","70.8678304169007","70.1258605541992","66.8440807050635","67.8343153310832","79.2833194565401","81.097266760121","81.5134686802405","84.8399282864679","86.0798554904283","86.2013144163609","91.4993183037461",
"Central African Republic","626","Debt to GDP Ratio","GGXWDG_GDP","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20.2677","20.3827","20.5337","24.7188","26.6152","25.1362","25.3836","26.493","24.2957","20.3587","28.7642","33.305","35.9543","41.4096","43.6978","40.355","42.2714","51.2411","51.9313","54.2027","46.8194","58.9819","59.698","68.9406","103.998","83.4799","92.1375","89.2282","87.7291","86.0771","92.8391976913695","103.339754966493","100.52821213353","102.657153588624","103.927099553687","108.770814287773","49.212700091174","49.4677338345115","36.6267743459384","21.0927740083591","21.4300528248484","21.8309596324684","23.5184085135426","38.5318161709941","51.1474243280897","48.4981716268494",
"Chad","628","Debt to GDP Ratio","GGXWDG_GDP","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.9567","17.8159","12.8092","13.8641","18.549","24.3247","27.6848","33.8377","36.9029","47.1965","46.1946","34.9616","30.5768","29.9888","25.4085","23.4257","23.408","27.2504","26.9204","29.1685","32.3607","39.2503","48.6242","59.1066","73.6249","66.3309","65.4494","67.64","63.8787","76.5804","83.6519","68.5092","68.048","59.9715","40.1087","25.6404753196538","26.2427981648202","22.1500744670059","19.9540505226387","31.6682806921257","30.1225556977668","30.5472665569398","28.7786548614849","30.3444603512838","39.212080221676","42.6109680091651",
"Chile","228","Debt to GDP Ratio","GGXWDG_GDP","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20.0413636363636","17.1933333333333","15.6121875","13.8235","12.6853191489362","12.3896296296296","10.6725","9.17189873417722",,,,,,,,,,,,,,,,,,,,,,,"36.803","47.5555","63.719","100.858","78.639","108.319","68.2631","58.7624","47.1517","38.7953","29.5888","19.0272","33.9579","71.4269","117.486","165.546","164.955","147.047","113.247","82.6764","77.1557","66.5652","54.4441","47.4207","41.0422","31.8986","26.8037","26.3245","25.1403",,"13.1908337634854","14.3948304598851","15.0865970780362","12.6407207964036","10.2943714326824","6.99715090003837","4.99388633635392","3.88988749089032","4.91893468842246","5.83473058284382","8.60053740155804","11.1525253661564","12.0294257401151","12.7908689714649","15.0592432497123","17.5397046382069",
"China","924","Debt to GDP Ratio","GGXWDG_GDP","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.971136206213822","3.30522164264305","3.24081931183361","3.59908671730818","4.46059881373789","6.4970532173622","6.94778396404146","7.42832254107961","4.98078345666379","6.71309510236496","6.13720214160056","21.4472610864655","21.2587045245831","20.4481956542512","20.4963182884515","21.6875467028869","22.8089333684925","24.3842425951406","25.7109592211718","26.5740068842788","26.1683665960703","26.0984784775641","25.3819473053517","29.0355432523223","27.0002058697859","32.5567175430411","33.0897958631988","33.0862095544953","34.0214597623741","36.9283752959174","39.830932080445","42.9192832514333",
"Colombia","233","Debt to GDP Ratio","GGXWDG_GDP","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13.1506849315068","13.5362095531587","11.5904700579524","10.6627565982405","11.1525423728814","12.7777777777778","12.2427440633245","12.6654820079964","11.2305465074195","15.6117647058824","14.1032258064516",,,,,,,,,,,,"6.55610888169028",,"5.51837589262347","7.21869761020348","9.35664395804903","9.30466289547411","8.69522328920395","9.4647237469363","9.15201886102555","9.68577141511854","9.95499346822442","10.7806716547672",,,"20.772","19.8055","18.7643","19.4031","17.5886","14.7844","13.0411","14.4253","12.4449","13.9408","16.2285","20.1716","25.1173","30.5112","35.1289","38.333","35.1893","33.2872","34.813","33.2014","30.2158","29.2086","25.5827","28.3411",,"29.4073304524565","31.9587436811457","39.557872364326","44.2208940871643","40.829694200559","47.2382030992589","44.7485804189778","41.2140953098638","38.2835084344427","35.7542406926444","32.4688198940172","32.1441141660426","35.1712798918141","36.4391721785691","35.7331702561102","34.0825030491228","37.7825220133507","44.2024838113685","50.5692633530993",
